"","day","wday","hour","count"
"843",16991,7,2,58
"844",16991,7,3,64
"845",16991,7,4,79
"846",16991,7,5,52
"847",16991,7,6,65
"848",16991,7,7,31
"849",16991,7,8,16
"850",16991,7,9,6
"851",16991,7,10,3
"852",16991,7,11,0
"853",16991,7,12,2
"854",16991,7,13,1
"855",16991,7,14,8
"856",16991,7,15,7
"857",16991,7,16,11
"858",16991,7,17,16
"859",16991,7,18,10
"860",16991,7,19,12
"861",16991,7,20,15
"862",16991,7,21,14
"863",16991,7,22,26
"864",16991,7,23,40
"865",16992,1,0,62
"866",16992,1,1,54
"867",16992,1,2,56
"868",16992,1,3,69
"869",16992,1,4,81
"870",16992,1,5,77
"871",16992,1,6,62
"872",16992,1,7,39
"873",16992,1,8,15
"874",16992,1,9,3
"875",16992,1,10,2
"876",16992,1,11,2
"877",16992,1,12,3
"878",16992,1,13,2
"879",16992,1,14,3
"880",16992,1,15,7
"881",16992,1,16,8
"882",16992,1,17,6
"883",16992,1,18,11
"884",16992,1,19,12
"885",16992,1,20,11
"886",16992,1,21,12
"887",16992,1,22,14
"888",16992,1,23,13
"889",16993,2,0,18
"890",16993,2,1,12
"891",16993,2,2,11
"892",16993,2,3,10
"893",16993,2,4,8
"894",16993,2,5,5
"895",16993,2,6,4
"896",16993,2,7,3
"897",16993,2,8,0
"898",16993,2,9,2
"899",16993,2,10,1
"900",16993,2,11,1
"901",16993,2,12,2
"902",16993,2,13,9
"903",16993,2,14,8
"904",16993,2,15,8
"905",16993,2,16,7
"906",16993,2,17,10
"907",16993,2,18,10
"908",16993,2,19,8
"909",16993,2,20,8
"910",16993,2,21,6
"911",16993,2,22,12
"912",16993,2,23,10
"913",16994,3,0,10
"914",16994,3,1,13
"915",16994,3,2,6
"916",16994,3,3,8
"917",16994,3,4,10
"918",16994,3,5,3
"919",16994,3,6,1
"920",16994,3,7,1
"921",16994,3,8,0
"922",16994,3,9,0
"923",16994,3,10,0
"924",16994,3,11,1
"925",16994,3,12,1
"926",16994,3,13,4
"927",16994,3,14,3
"928",16994,3,15,9
"929",16994,3,16,9
"930",16994,3,17,9
"931",16994,3,18,8
"932",16994,3,19,6
"933",16994,3,20,10
"934",16994,3,21,11
"935",16994,3,22,16
"936",16994,3,23,14
"937",16995,4,0,13
"938",16995,4,1,10
"939",16995,4,2,10
"940",16995,4,3,12
"941",16995,4,4,10
"942",16995,4,5,3
"943",16995,4,6,5
"944",16995,4,7,1
"945",16995,4,8,0
"946",16995,4,9,2
"947",16995,4,10,2
"948",16995,4,11,2
"949",16995,4,12,5
"950",16995,4,13,10
"951",16995,4,14,12
"952",16995,4,15,11
"953",16995,4,16,12
"954",16995,4,17,8
"955",16995,4,18,13
"956",16995,4,19,13
"957",16995,4,20,12
"958",16995,4,21,14
"959",16995,4,22,16
"960",16995,4,23,49
"961",16996,5,0,58
"962",16996,5,1,27
"963",16996,5,2,23
"964",16996,5,3,47
"965",16996,5,4,24
"966",16996,5,5,11
"967",16996,5,6,2
"968",16996,5,7,2
"969",16996,5,8,0
"970",16996,5,9,0
"971",16996,5,10,6
"972",16996,5,11,4
"973",16996,5,12,8
"974",16996,5,13,10
"975",16996,5,14,7
"976",16996,5,15,13
"977",16996,5,16,9
"978",16996,5,17,9
"979",16996,5,18,15
"980",16996,5,19,12
"981",16996,5,20,9
"982",16996,5,21,10
"983",16996,5,22,22
"984",16996,5,23,26
"985",16997,6,0,25
"986",16997,6,1,29
"987",16997,6,2,25
"988",16997,6,3,32
"989",16997,6,4,21
"990",16997,6,5,14
"991",16997,6,6,12
"992",16997,6,7,6
"993",16997,6,8,1
"994",16997,6,9,1
"995",16997,6,10,3
"996",16997,6,11,0
"997",16997,6,12,5
"998",16997,6,13,8
"999",16997,6,14,9
"1000",16997,6,15,16
"1001",16997,6,16,15
"1002",16997,6,17,13
"1003",16997,6,18,17
"1004",16997,6,19,13
"1005",16997,6,20,19
"1006",16997,6,21,15
"1007",16997,6,22,31
"1008",16997,6,23,37
"1009",16998,7,0,65
"1010",16998,7,1,41
"1011",16998,7,2,70
"1012",16998,7,3,78
"1013",16998,7,4,82
"1014",16998,7,5,56
"1015",16998,7,6,56
"1016",16998,7,7,38
"1017",16998,7,8,16
"1018",16998,7,9,5
"1019",16998,7,10,4
"1020",16998,7,11,3
"1021",16998,7,12,1
"1022",16998,7,13,4
"1023",16998,7,14,9
"1024",16998,7,15,17
"1025",16998,7,16,16
"1026",16998,7,17,16
"1027",16998,7,18,15
"1028",16998,7,19,23
"1029",16998,7,20,22
"1030",16998,7,21,15
"1031",16998,7,22,30
"1032",16998,7,23,35
"1033",16999,1,0,55
"1034",16999,1,1,69
"1035",16999,1,2,80
"1036",16999,1,3,100
"1037",16999,1,4,105
"1038",16999,1,5,70
"1039",16999,1,6,65
"1040",16999,1,7,44
"1041",16999,1,8,14
"1042",16999,1,9,5
"1043",16999,1,10,1
"1044",16999,1,11,3
"1045",16999,1,12,1
"1046",16999,1,13,10
"1047",16999,1,14,9
"1048",16999,1,15,6
"1049",16999,1,16,9
"1050",16999,1,17,11
"1051",16999,1,18,11
"1052",16999,1,19,17
"1053",16999,1,20,12
"1054",16999,1,21,9
"1055",16999,1,22,8
"1056",16999,1,23,12
"1057",17000,2,0,16
"1058",17000,2,1,10
"1059",17000,2,2,11
"1060",17000,2,3,9
"1061",17000,2,4,5
"1062",17000,2,5,7
"1063",17000,2,6,2
"1064",17000,2,7,2
"1065",17000,2,8,0
"1066",17000,2,9,2
"1067",17000,2,10,2
"1068",17000,2,11,5
"1069",17000,2,12,6
"1070",17000,2,13,5
"1071",17000,2,14,12
"1072",17000,2,15,11
"1073",17000,2,16,7
"1074",17000,2,17,10
