"","x"
"2188",66
"2189",-49
"2190",47
"2191",42
"2192",-76
"2193",24
"2194",-13
"2195",11
"2196",5
"2197",-30
"2198",21
"2199",-1
"2200",-43
"2201",17
"2202",6
"2203",65
"2204",52
"2205",0
"2206",21
"2207",-24
"2208",-29
"2209",11
"2210",-86
"2211",-168
"2212",-229
"2213",280
"2214",74
"2215",34
"2216",-47
"2217",59
"2218",11
"2219",11
"2220",-3
"2221",-5
"2222",9
"2223",18
"2224",-11
"2225",-3
"2226",-47
"2227",-36
"2228",-12
"2229",-22
"2230",-75
"2231",0
"2232",49
"2233",-45
"2234",-5
"2235",49
"2236",-32
"2237",-20
"2238",-31
"2239",20
"2240",97
"2241",55
"2242",21
"2243",-9
"2244",26
"2245",27
"2246",-11
"2247",-55
"2248",-38
"2249",9
"2250",9
"2251",4
"2252",10
"2253",-14
"2254",49
"2255",14
"2256",-15
"2257",16
"2258",4
"2259",-8
"2260",5
"2261",-10
"2262",-1
"2263",-4
"2264",1
"2265",3
"2266",-12
"2267",5
"2268",-1
"2269",9
"2270",2
"2271",4
"2272",-19
"2273",1
"2274",1
"2275",-3
"2276",5
"2277",13
"2278",18
"2279",4
"2280",-3
"2281",3
"2282",0
"2283",11
"2284",-26
"2285",1
"2286",-1
"2287",-14
"2288",2
"2289",-7
"2290",22
"2291",-9
"2292",22
"2293",-6
"2294",5
"2295",-9
"2296",2
"2297",11
"2298",-8
"2299",-9
"2300",-24
"2301",23
"2302",4
"2303",15
"2304",15
"2305",-11
"2306",14
"2307",-19
"2308",3
"2309",-17
"2310",-11
"2311",-5
"2312",-4
"2313",-2
"2314",7
"2315",1
"2316",-19
"2317",33
"2318",-42
"2319",41
"2320",3
"2321",12
